Valor de Referencia gr,Medicion
1,0.9
1,11.25
1,24
1,28
1,18
10,48.1
10,50.2
10,43.7
10,45.2
10,43.3
20,53.4
20,51.6
20,51.1
20,43.6
20,48.2
50,47.2
50,50.9
50,45.6
50,41.5
50,21.4
100,53.2
100,53
100,46.6
100,49.6
100,62.2
200,176.7
200,167
200,152.6
200,140.4
200,130.6
500,501.9
500,498.6
500,499
500,507.7
500,518.4
1000,1045
1000,1041
1000,1044.6
1000,1046.6
1000,1046.9
2000,1996
2000,1992.4
2000,1987.8
2000,1985
2000,1982.9
5000,5088
5000,5080
5000,5099
5000,5089
5000,5095
10000,10455
10000,10453
10000,10439
10000,10425
10000,10420
15000,15476
15000,15332
15000,15309
15000,15392
15000,15315
20000,20350
20000,20406
20000,20357
20000,20372
20000,20338
25000,25194
25000,25063
25000,25170
25000,25158
25000,25104
30000,30127
30000,30068
30000,29916
30000,30453
30000,30773
35000,35213
35000,35638
35000,35806
35000,35935
35000,35517
40000,40512
40000,39288
40000,39379
40000,39812
40000,39963
45000,45183
45000,45209
45000,45043
45000,45102
45000,45299
50000,49499
50000,48482
50000,50096
50000,50113
50000,50003
